date,ville,latitude,longitude,T_min,T_max,pluie_mm,vent_kmh,ensoleillement_h,mois,type_plante,stade,humidite_sol,temperature_sol,N,P,K,kc,ET0,superficie_ha,eau_litres,eau_mm
2019-01-19,Agadir,30.427,-9.598,11.7,19.2,0.0,19.1,9.98,1,Laitue,jeune,16.0,13.2,130.4,17.1,36.6,0.7,0.02,25.9,2590.0,0.01
2019-01-20,Agadir,30.427,-9.598,10.2,19.6,0.0,24.3,10.0,1,Oignon,jeune,72.5,16.7,17.5,91.9,133.0,0.7,0.01,33.03,3303.0,0.01
2019-01-21,Agadir,30.427,-9.598,11.0,22.7,0.0,27.7,10.0,1,Tomate,jeune,17.6,16.7,116.6,53.4,87.1,0.6,0.02,3.52,352.0,0.01
2019-01-22,Agadir,30.427,-9.598,10.4,17.6,0.0,14.5,10.0,1,Oranger,jeune,24.2,16.2,129.4,47.8,71.9,0.7,0.03,26.75,5350.0,0.02
2019-01-23,Agadir,30.427,-9.598,11.1,21.9,0.0,20.0,10.0,1,Citronnier,mature,46.0,17.8,191.5,9.1,127.0,0.75,0.03,29.17,5834.0,0.02
2019-01-24,Agadir,30.427,-9.598,10.8,17.3,0.0,12.2,10.0,1,Laitue,jeune,56.3,13.1,139.0,21.5,120.5,0.7,0.03,25.8,5160.0,0.02
2019-01-25,Agadir,30.427,-9.598,12.4,18.4,0.0,11.6,10.0,1,Oignon,jeune,63.1,13.2,29.0,61.5,124.0,0.7,0.02,46.08,4608.0,0.01
2019-01-26,Agadir,30.427,-9.598,11.7,18.1,0.0,16.3,10.0,1,Tomate,fin,30.7,17.8,61.8,27.4,94.5,0.8,0.02,1.84,368.0,0.02
2019-01-27,Agadir,30.427,-9.598,12.5,18.6,0.0,19.6,10.0,1,Oranger,mature,21.1,12.8,187.7,45.3,123.2,0.75,0.02,13.77,2754.0,0.02
2019-01-28,Agadir,30.427,-9.598,10.7,18.1,0.0,11.7,10.0,1,Citronnier,fin,58.8,12.9,198.1,6.3,1.8,0.7,0.03,33.07,6614.0,0.02
2019-01-29,Agadir,30.427,-9.598,11.5,18.2,0.0,13.6,10.0,1,Laitue,mature,48.3,14.1,89.4,10.7,54.2,1.0,0.03,49.31,14793.0,0.03
2019-01-30,Agadir,30.427,-9.598,11.6,19.7,0.0,12.8,10.0,1,Oignon,mature,69.4,14.4,116.0,78.7,59.4,1.05,0.02,12.01,2402.0,0.02
2019-01-31,Agadir,30.427,-9.598,12.2,19.2,0.0,20.3,9.51,1,Tomate,mature,19.4,14.0,152.2,35.3,52.6,1.15,0.02,48.62,9724.0,0.02
2019-02-01,Agadir,30.427,-9.598,11.5,17.8,0.2,24.3,8.05,2,Oranger,mature,32.8,12.3,119.2,47.6,143.2,0.75,0.01,33.66,0.0,0.0
2019-02-02,Agadir,30.427,-9.598,11.2,23.4,0.0,21.9,10.09,2,Citronnier,mature,35.1,14.6,99.2,25.2,137.3,0.75,0.02,45.78,9156.0,0.02
2019-02-03,Agadir,30.427,-9.598,11.7,19.9,0.0,13.3,10.09,2,Laitue,jeune,15.6,18.7,1.5,65.0,58.3,0.7,0.03,12.82,2564.0,0.02
2019-02-04,Agadir,30.427,-9.598,14.0,26.1,0.0,15.6,10.08,2,Oignon,mature,38.4,21.8,109.4,64.0,114.0,1.05,0.02,22.92,4584.0,0.02
2019-02-05,Agadir,30.427,-9.598,13.9,23.6,0.0,23.4,10.07,2,Tomate,mature,56.4,21.7,12.1,6.5,53.7,1.15,0.02,13.22,2644.0,0.02
2019-02-06,Agadir,30.427,-9.598,13.5,20.1,0.0,16.7,9.78,2,Oranger,mature,56.0,18.4,172.5,42.1,45.4,0.75,0.02,47.42,9484.0,0.02
2019-02-07,Agadir,30.427,-9.598,11.5,18.4,0.0,17.5,10.06,2,Citronnier,mature,19.5,12.8,26.3,28.8,62.2,0.75,0.02,46.64,9328.0,0.02
2019-02-08,Agadir,30.427,-9.598,11.2,18.3,0.0,14.6,10.13,2,Laitue,jeune,43.4,14.8,78.5,84.7,121.5,0.7,0.02,25.43,2543.0,0.01
2019-02-09,Agadir,30.427,-9.598,12.3,22.6,0.0,12.8,10.13,2,Oignon,mature,42.0,19.8,101.8,46.4,98.3,1.05,0.02,48.46,9692.0,0.02
2019-02-10,Agadir,30.427,-9.598,13.7,25.4,0.0,22.5,10.2,2,Tomate,mature,26.5,16.6,101.8,85.4,83.1,1.15,0.02,31.63,6326.0,0.02
2019-02-11,Agadir,30.427,-9.598,16.8,24.2,0.0,17.5,10.19,2,Oranger,fin,42.5,20.3,105.4,99.7,11.7,0.7,0.02,44.99,4499.0,0.01
2019-02-12,Agadir,30.427,-9.598,14.8,23.2,0.0,15.6,10.26,2,Citronnier,mature,23.1,18.4,118.6,14.7,35.1,0.75,0.02,18.28,3656.0,0.02
2019-02-13,Agadir,30.427,-9.598,15.8,26.6,0.0,13.1,10.25,2,Laitue,mature,38.1,23.1,38.3,30.9,122.1,1.0,0.02,49.43,9886.0,0.02
2019-02-14,Agadir,30.427,-9.598,18.0,27.0,0.0,27.9,10.24,2,Oignon,jeune,33.4,19.8,168.0,87.0,28.0,0.7,0.01,1.98,198.0,0.01
2019-02-15,Agadir,30.427,-9.598,17.3,25.8,0.0,35.5,8.17,2,Tomate,fin,15.6,19.0,66.8,11.8,134.3,0.8,0.0,29.06,0.0,0.0
2019-02-16,Agadir,30.427,-9.598,17.0,23.4,1.1,38.2,5.82,2,Oranger,mature,17.6,21.2,36.9,89.3,35.9,0.75,0.01,18.73,0.0,0.0
2019-02-17,Agadir,30.427,-9.598,14.7,22.8,0.0,18.9,9.7,2,Citronnier,jeune,40.2,18.9,25.3,4.1,15.6,0.7,0.01,29.75,2975.0,0.01
2019-02-18,Agadir,30.427,-9.598,11.6,17.6,1.1,23.4,8.04,2,Laitue,jeune,47.2,13.7,128.7,15.9,123.4,0.7,0.0,23.79,0.0,0.0
2019-02-19,Agadir,30.427,-9.598,9.3,16.8,0.0,19.6,8.54,2,Oignon,jeune,43.4,10.4,21.1,52.2,134.4,0.7,0.01,19.62,1962.0,0.01
2019-02-20,Agadir,30.427,-9.598,10.6,18.9,0.0,16.0,10.35,2,Tomate,mature,39.6,16.3,37.3,88.0,61.7,1.15,0.0,0.77,0.0,0.0
2019-02-21,Agadir,30.427,-9.598,12.3,24.6,0.0,19.6,10.49,2,Oranger,jeune,40.6,16.9,106.1,24.3,98.9,0.7,0.01,42.72,4272.0,0.01
2019-02-22,Agadir,30.427,-9.598,17.6,28.4,0.0,23.4,10.32,2,Citronnier,jeune,16.2,25.8,24.5,66.9,32.6,0.7,0.01,37.69,3769.0,0.01
2019-02-23,Agadir,30.427,-9.598,18.6,27.1,0.0,16.2,10.62,2,Laitue,jeune,56.1,22.7,2.6,81.1,62.2,0.7,0.01,0.77,77.0,0.01
2019-02-24,Agadir,30.427,-9.598,17.3,26.4,0.0,18.3,10.74,2,Oignon,jeune,64.2,20.8,112.1,26.1,85.0,0.7,0.02,18.43,1843.0,0.01
2019-02-25,Agadir,30.427,-9.598,17.2,29.0,0.0,22.2,10.83,2,Tomate,mature,49.4,25.8,79.7,15.7,130.0,1.15,0.01,31.16,3116.0,0.01
2019-02-26,Agadir,30.427,-9.598,17.8,25.1,0.0,19.9,10.84,2,Oranger,fin,41.0,23.0,30.6,68.9,137.7,0.7,0.01,37.35,3735.0,0.01
2019-02-27,Agadir,30.427,-9.598,14.8,23.0,0.0,20.4,10.85,2,Citronnier,jeune,24.9,18.8,108.3,22.0,14.4,0.7,0.01,48.46,4846.0,0.01
2019-02-28,Agadir,30.427,-9.598,12.8,20.0,0.0,16.8,10.94,2,Laitue,fin,25.1,14.5,76.9,14.5,47.5,0.95,0.01,3.75,375.0,0.01
2019-03-01,Agadir,30.427,-9.598,12.9,21.0,0.0,19.8,10.28,3,Oignon,mature,25.3,14.2,142.0,47.7,31.8,1.05,0.01,10.97,1097.0,0.01
2019-03-02,Agadir,30.427,-9.598,12.8,21.1,0.0,19.9,10.96,3,Tomate,jeune,26.5,18.7,125.4,55.7,32.5,0.6,0.01,14.19,1419.0,0.01
2019-03-03,Agadir,30.427,-9.598,13.4,20.0,0.0,17.3,10.93,3,Oranger,fin,41.2,15.7,5.7,66.6,97.2,0.7,0.01,20.89,2089.0,0.01
2019-03-04,Agadir,30.427,-9.598,13.7,23.3,0.0,20.7,11.06,3,Citronnier,mature,19.2,16.3,126.7,70.3,121.8,0.75,0.01,42.37,4237.0,0.01
2019-03-05,Agadir,30.427,-9.598,12.4,20.1,0.0,19.2,11.07,3,Laitue,mature,50.8,15.8,148.6,72.3,96.5,1.0,0.01,41.26,4126.0,0.01
2019-03-06,Agadir,30.427,-9.598,13.3,19.5,0.0,26.9,11.09,3,Oignon,mature,57.6,18.5,24.0,74.8,20.8,1.05,0.01,20.75,2075.0,0.01
2019-03-07,Agadir,30.427,-9.598,14.4,22.4,0.0,31.0,11.17,3,Tomate,jeune,62.1,19.7,68.2,78.5,104.7,0.6,0.01,33.5,3350.0,0.01
2019-03-08,Agadir,30.427,-9.598,12.7,25.6,0.0,25.8,11.26,3,Oranger,mature,59.3,19.8,121.0,19.9,116.4,0.75,0.01,42.99,4299.0,0.01
2019-03-09,Agadir,30.427,-9.598,13.8,25.0,0.0,19.8,11.27,3,Citronnier,jeune,46.0,17.8,104.8,57.9,98.7,0.7,0.01,22.76,2276.0,0.01
2019-03-10,Agadir,30.427,-9.598,15.9,26.2,0.0,19.2,11.27,3,Laitue,fin,29.3,20.7,114.8,7.2,128.5,0.95,0.01,4.37,437.0,0.01
2019-03-11,Agadir,30.427,-9.598,16.0,21.3,0.0,16.9,11.34,3,Oignon,mature,55.4,16.9,137.4,69.5,58.3,1.05,0.01,43.81,4381.0,0.01
2019-03-12,Agadir,30.427,-9.598,15.2,25.7,0.0,14.8,10.96,3,Tomate,jeune,32.9,23.3,194.2,61.3,74.9,0.6,0.01,36.49,3649.0,0.01
2019-03-13,Agadir,30.427,-9.598,14.7,23.5,0.0,17.7,11.32,3,Oranger,jeune,32.9,19.5,196.1,63.1,107.5,0.7,0.01,16.76,1676.0,0.01
2019-03-14,Agadir,30.427,-9.598,14.6,20.7,0.0,14.5,11.2,3,Citronnier,jeune,15.5,15.5,136.3,10.2,100.7,0.7,0.0,22.73,0.0,0.0
2019-03-15,Agadir,30.427,-9.598,13.9,26.7,0.0,15.3,11.39,3,Laitue,mature,47.9,22.3,11.2,98.8,115.1,1.0,0.01,27.3,2730.0,0.01
2019-03-16,Agadir,30.427,-9.598,17.3,27.6,0.0,16.6,11.46,3,Oignon,fin,70.5,22.1,73.2,12.2,54.6,0.75,0.01,20.76,2076.0,0.01
2019-03-17,Agadir,30.427,-9.598,16.7,26.0,0.0,19.1,11.45,3,Tomate,fin,67.8,23.6,150.0,97.1,17.7,0.8,0.01,31.24,3124.0,0.01
2019-03-18,Agadir,30.427,-9.598,14.8,25.9,0.0,15.6,11.52,3,Oranger,mature,68.1,20.7,30.8,17.2,123.4,0.75,0.0,5.46,0.0,0.0
2019-03-19,Agadir,30.427,-9.598,13.9,24.7,0.0,14.8,11.59,3,Citronnier,mature,25.1,18.8,70.2,28.1,139.2,0.75,0.0,31.89,0.0,0.0
2019-03-20,Agadir,30.427,-9.598,14.1,22.5,0.0,16.4,11.58,3,Laitue,fin,37.3,17.5,131.4,30.5,88.5,0.95,0.0,17.51,0.0,0.0
2019-03-21,Agadir,30.427,-9.598,13.4,24.2,0.0,14.8,11.72,3,Oignon,mature,26.2,19.3,107.1,96.3,97.7,1.05,0.0,1.51,0.0,0.0
2019-03-22,Agadir,30.427,-9.598,14.5,26.6,0.0,19.4,11.72,3,Tomate,fin,49.7,18.2,111.5,88.6,146.9,0.8,0.0,10.73,0.0,0.0
2019-03-23,Agadir,30.427,-9.598,17.3,27.3,0.0,39.6,11.05,3,Oranger,jeune,17.9,20.7,165.3,69.6,50.7,0.7,0.0,34.64,0.0,0.0
2019-03-24,Agadir,30.427,-9.598,18.3,29.2,0.0,36.6,11.26,3,Citronnier,mature,18.6,26.2,124.4,30.3,100.3,0.75,0.0,9.12,0.0,0.0
2019-03-25,Agadir,30.427,-9.598,17.2,32.8,0.3,40.0,10.5,3,Laitue,jeune,56.0,25.7,132.5,81.8,132.3,0.7,0.0,48.94,0.0,0.0
2019-03-26,Agadir,30.427,-9.598,15.0,21.4,3.1,16.2,8.72,3,Oignon,fin,20.6,15.2,12.8,97.5,138.6,0.75,0.0,33.56,0.0,0.0
2019-03-27,Agadir,30.427,-9.598,14.6,21.7,0.5,21.3,11.56,3,Tomate,fin,65.3,15.8,38.3,44.5,119.7,0.8,0.0,28.97,0.0,0.0
2019-03-28,Agadir,30.427,-9.598,15.4,22.3,0.0,18.4,10.94,3,Oranger,fin,54.4,20.1,19.1,84.7,126.7,0.7,0.01,33.47,3347.0,0.01
2019-03-29,Agadir,30.427,-9.598,14.2,24.7,0.0,19.5,11.86,3,Citronnier,jeune,40.9,19.6,114.7,12.9,100.9,0.7,0.01,7.18,718.0,0.01
2019-03-30,Agadir,30.427,-9.598,16.3,21.0,0.0,23.2,11.83,3,Laitue,fin,22.9,20.3,102.7,43.5,118.8,0.95,0.01,34.1,3410.0,0.01
2019-03-31,Agadir,30.427,-9.598,14.4,19.3,0.0,24.1,11.88,3,Oignon,jeune,15.8,19.3,124.5,26.0,45.3,0.7,0.0,13.94,0.0,0.0
2019-04-01,Agadir,30.427,-9.598,13.1,21.0,0.0,20.3,11.89,4,Tomate,mature,21.4,17.0,28.7,36.9,114.5,1.15,0.01,11.0,1100.0,0.01
2019-04-02,Agadir,30.427,-9.598,15.2,26.7,0.0,20.8,5.05,4,Oranger,mature,53.6,21.7,104.3,9.9,97.9,0.75,0.0,46.52,0.0,0.0
2019-04-03,Agadir,30.427,-9.598,16.4,26.0,6.0,35.0,11.66,4,Citronnier,jeune,17.7,23.4,19.9,68.2,25.8,0.7,0.01,48.45,0.0,0.0
2019-04-04,Agadir,30.427,-9.598,14.2,18.3,10.2,22.6,11.92,4,Laitue,mature,73.6,14.9,158.3,20.8,74.4,1.0,0.0,31.65,0.0,0.0
2019-04-05,Agadir,30.427,-9.598,13.3,17.6,2.0,24.0,11.73,4,Oignon,mature,20.5,15.1,163.6,6.8,9.3,1.05,0.01,38.6,0.0,0.0
2019-04-06,Agadir,30.427,-9.598,11.8,17.8,0.1,25.7,12.03,4,Tomate,fin,38.2,12.4,150.8,5.6,48.4,0.8,0.01,32.0,0.0,0.0
2019-04-07,Agadir,30.427,-9.598,10.6,20.0,0.0,24.7,12.1,4,Oranger,jeune,22.8,18.1,185.5,78.1,142.5,0.7,0.01,22.49,2249.0,0.01
2019-04-08,Agadir,30.427,-9.598,13.6,22.9,0.0,26.5,12.03,4,Citronnier,mature,15.2,18.7,126.3,11.9,46.4,0.75,0.01,34.66,3466.0,0.01
2019-04-09,Agadir,30.427,-9.598,14.7,24.9,0.0,20.4,11.97,4,Laitue,fin,56.6,20.6,193.9,77.5,102.6,0.95,0.01,32.54,3254.0,0.01
2019-04-10,Agadir,30.427,-9.598,14.1,26.7,0.0,14.5,12.11,4,Oignon,fin,43.0,17.4,13.4,74.0,16.1,0.75,0.01,6.47,647.0,0.01
2019-04-11,Agadir,30.427,-9.598,14.1,27.3,0.0,19.6,12.26,4,Tomate,mature,32.1,18.7,14.3,69.5,78.2,1.15,0.01,3.78,378.0,0.01
2019-04-12,Agadir,30.427,-9.598,15.1,27.3,0.0,28.3,12.0,4,Oranger,jeune,64.6,21.9,123.3,95.1,45.6,0.7,0.01,35.59,3559.0,0.01
2019-04-13,Agadir,30.427,-9.598,15.2,28.2,0.0,16.8,12.4,4,Citronnier,fin,21.4,21.3,40.1,97.3,126.7,0.7,0.01,13.33,1333.0,0.01
2019-04-14,Agadir,30.427,-9.598,20.2,33.4,0.0,26.3,12.46,4,Laitue,fin,73.7,27.3,180.1,23.1,83.4,0.95,0.01,24.67,2467.0,0.01
2019-04-15,Agadir,30.427,-9.598,16.7,24.6,0.0,18.8,12.53,4,Oignon,fin,24.0,19.5,35.1,90.8,48.9,0.75,0.01,17.72,1772.0,0.01
2019-04-16,Agadir,30.427,-9.598,15.6,26.7,0.0,10.7,12.67,4,Tomate,fin,22.0,19.9,17.1,12.4,16.3,0.8,0.01,34.51,3451.0,0.01
2019-04-17,Agadir,30.427,-9.598,15.4,21.2,0.0,24.7,12.06,4,Oranger,jeune,59.8,18.9,190.6,66.2,70.1,0.7,0.0,42.08,0.0,0.0
2019-04-18,Agadir,30.427,-9.598,16.1,22.4,0.0,38.1,12.0,4,Citronnier,fin,45.5,18.2,48.6,100.0,117.9,0.7,0.01,45.09,4509.0,0.01
2019-04-19,Agadir,30.427,-9.598,12.4,25.3,0.0,37.3,12.8,4,Laitue,jeune,56.1,15.9,29.3,96.8,105.1,0.7,0.01,20.8,2080.0,0.01
2019-04-20,Agadir,30.427,-9.598,14.9,21.9,0.0,37.2,12.83,4,Oignon,jeune,53.7,19.1,119.5,21.4,1.1,0.7,0.01,46.99,4699.0,0.01
2019-04-21,Agadir,30.427,-9.598,14.8,22.1,0.0,38.7,12.85,4,Tomate,jeune,57.1,17.5,109.8,30.2,95.9,0.6,0.0,27.27,0.0,0.0
2019-04-22,Agadir,30.427,-9.598,13.9,21.2,0.0,28.5,12.7,4,Oranger,jeune,42.4,18.1,10.1,12.8,42.9,0.7,0.0,46.15,0.0,0.0
2019-04-23,Agadir,30.427,-9.598,14.8,20.5,0.2,25.5,10.24,4,Citronnier,mature,46.6,17.3,100.3,57.7,103.6,0.75,0.0,17.94,0.0,0.0
2019-04-24,Agadir,30.427,-9.598,13.1,21.0,0.0,32.9,12.9,4,Laitue,jeune,40.8,15.6,67.0,60.0,10.9,0.7,0.0,2.22,0.0,0.0
2019-04-25,Agadir,30.427,-9.598,12.4,24.4,0.0,29.1,12.61,4,Oignon,fin,40.9,18.6,74.6,94.9,96.8,0.75,0.01,27.53,2753.0,0.01
2019-04-26,Agadir,30.427,-9.598,14.8,23.1,0.0,16.4,12.93,4,Tomate,mature,68.0,21.6,90.7,40.8,28.8,1.15,0.01,1.88,188.0,0.01
2019-04-27,Agadir,30.427,-9.598,16.2,27.4,0.0,17.6,12.95,4,Oranger,jeune,40.4,23.2,2.2,4.2,27.7,0.7,0.01,6.04,604.0,0.01
2019-04-28,Agadir,30.427,-9.598,16.0,27.1,0.0,17.3,12.51,4,Citronnier,jeune,44.1,20.0,162.2,38.4,10.3,0.7,0.01,10.31,1031.0,0.01
2019-04-29,Agadir,30.427,-9.598,16.7,26.4,0.0,17.6,11.02,4,Laitue,fin,27.2,22.4,196.2,62.3,123.8,0.95,0.0,25.37,0.0,0.0
2019-04-30,Agadir,30.427,-9.598,16.1,28.4,0.0,17.1,13.0,4,Oignon,mature,45.9,21.5,98.0,21.8,27.0,1.05,0.0,10.04,0.0,0.0
2019-05-01,Agadir,30.427,-9.598,16.4,22.8,0.0,15.3,12.48,5,Tomate,jeune,47.2,21.2,113.4,44.5,127.0,0.6,0.0,15.0,0.0,0.0
2019-05-02,Agadir,30.427,-9.598,17.7,22.7,0.9,24.5,7.82,5,Oranger,jeune,57.5,21.9,187.9,91.0,126.9,0.7,0.0,37.93,0.0,0.0
2019-05-03,Agadir,30.427,-9.598,17.3,22.2,0.8,28.4,10.0,5,Citronnier,jeune,43.0,22.0,85.1,46.1,0.5,0.7,0.0,5.03,0.0,0.0
2019-05-04,Agadir,30.427,-9.598,16.5,23.7,0.1,25.1,10.18,5,Laitue,fin,42.4,21.4,77.7,92.4,91.6,0.95,0.0,43.14,0.0,0.0
2019-05-05,Agadir,30.427,-9.598,16.5,24.7,0.0,21.6,12.21,5,Oignon,fin,75.0,18.6,137.7,29.1,55.6,0.75,0.0,9.27,0.0,0.0
2019-05-06,Agadir,30.427,-9.598,16.4,24.9,0.0,19.3,12.77,5,Tomate,fin,27.2,19.0,140.9,22.7,57.1,0.8,0.0,11.66,0.0,0.0
2019-05-07,Agadir,30.427,-9.598,15.8,25.0,0.0,18.9,12.48,5,Oranger,fin,40.3,23.1,60.1,12.8,54.7,0.7,0.0,7.86,0.0,0.0
2019-05-08,Agadir,30.427,-9.598,15.0,27.1,0.0,17.9,13.0,5,Citronnier,jeune,54.6,20.0,122.0,71.5,36.1,0.7,0.0,6.36,0.0,0.0
2019-05-09,Agadir,30.427,-9.598,16.1,23.9,0.0,23.1,13.0,5,Laitue,fin,27.1,21.3,190.9,40.6,2.1,0.95,0.0,2.58,0.0,0.0
2019-05-10,Agadir,30.427,-9.598,15.5,22.0,0.0,18.4,13.0,5,Oignon,mature,63.3,16.0,8.1,99.5,105.1,1.05,0.0,16.79,0.0,0.0
2019-05-11,Agadir,30.427,-9.598,16.5,26.3,0.0,15.9,12.47,5,Tomate,fin,51.8,23.6,41.2,14.7,36.4,0.8,0.0,30.76,0.0,0.0
2019-05-12,Agadir,30.427,-9.598,19.4,39.2,0.0,18.7,13.0,5,Oranger,jeune,49.2,27.9,52.7,17.6,128.7,0.7,0.0,6.99,0.0,0.0
2019-05-13,Agadir,30.427,-9.598,24.3,35.7,0.0,15.3,13.0,5,Citronnier,jeune,70.5,30.9,98.6,80.1,138.3,0.7,0.0,32.91,0.0,0.0
2019-05-14,Agadir,30.427,-9.598,19.4,25.8,0.0,15.3,13.0,5,Laitue,jeune,61.1,22.0,94.2,91.8,26.2,0.7,0.0,27.72,0.0,0.0
2019-05-15,Agadir,30.427,-9.598,17.9,25.6,0.0,15.1,12.28,5,Oignon,jeune,45.9,20.1,59.2,22.1,97.0,0.7,0.0,37.09,0.0,0.0
2019-05-16,Agadir,30.427,-9.598,20.7,29.4,0.0,15.5,12.91,5,Tomate,mature,66.9,25.1,56.2,87.1,40.7,1.15,0.0,33.37,0.0,0.0
2019-05-17,Agadir,30.427,-9.598,19.1,35.1,0.0,19.5,13.0,5,Oranger,jeune,39.8,26.1,194.8,8.6,3.5,0.7,0.0,33.04,0.0,0.0
2019-05-18,Agadir,30.427,-9.598,18.5,28.6,0.0,22.2,13.0,5,Citronnier,fin,74.2,23.5,16.1,42.9,6.3,0.7,0.0,29.65,0.0,0.0
2019-05-19,Agadir,30.427,-9.598,16.7,30.3,0.0,27.0,13.0,5,Laitue,fin,66.1,21.7,187.6,92.1,48.9,0.95,0.0,8.12,0.0,0.0
2019-05-20,Agadir,30.427,-9.598,17.5,29.4,0.0,25.7,13.0,5,Oignon,mature,51.8,24.7,144.9,78.7,103.8,1.05,0.0,30.88,0.0,0.0
2019-05-21,Agadir,30.427,-9.598,16.9,27.2,0.0,18.3,13.0,5,Tomate,jeune,64.0,19.2,61.8,93.4,138.7,0.6,0.0,37.96,0.0,0.0
2019-05-22,Agadir,30.427,-9.598,16.6,26.2,0.0,18.0,13.0,5,Oranger,jeune,72.8,21.3,161.4,87.0,112.0,0.7,0.0,3.1,0.0,0.0
2019-05-23,Agadir,30.427,-9.598,16.8,29.8,0.0,15.2,12.81,5,Citronnier,mature,40.9,20.9,178.5,32.6,83.8,0.75,0.0,33.27,0.0,0.0
2019-05-24,Agadir,30.427,-9.598,19.4,33.3,0.0,18.9,13.0,5,Laitue,fin,16.3,28.0,133.6,31.2,21.8,0.95,0.0,6.99,0.0,0.0
2019-05-25,Agadir,30.427,-9.598,17.5,24.1,0.0,20.0,13.0,5,Oignon,mature,31.5,20.1,104.5,97.8,42.4,1.05,0.0,3.08,0.0,0.0
2019-05-26,Agadir,30.427,-9.598,16.5,24.0,0.0,19.1,13.0,5,Tomate,jeune,44.5,21.5,148.5,93.4,98.2,0.6,0.0,31.36,0.0,0.0
2019-05-27,Agadir,30.427,-9.598,18.6,27.8,0.0,15.1,13.0,5,Oranger,mature,43.2,23.5,133.2,89.9,129.7,0.75,0.0,17.95,0.0,0.0
2019-05-28,Agadir,30.427,-9.598,19.0,23.6,0.0,18.1,13.0,5,Citronnier,fin,29.9,22.6,181.6,66.6,123.4,0.7,0.0,33.27,0.0,0.0
2019-05-29,Agadir,30.427,-9.598,18.0,22.4,0.0,17.1,11.93,5,Laitue,jeune,30.0,22.7,105.1,73.0,23.1,0.7,0.0,43.38,0.0,0.0
