date,ville,latitude,longitude,T_min,T_max,pluie_mm,vent_kmh,ensoleillement_h,mois,type_plante,stade,humidite_sol,temperature_sol,N,P,K,kc,ET0,superficie_ha,eau_litres,eau_mm,saison,amplitude_thermique,fertilite_sol,type_culture
2019-02-27,Agadir,30.427,-9.598,14.8,23.0,0.0,20.4,10.85,2,Citronnier,jeune,24.9,18.8,108.3,22.0,14.4,0.7,0.01,48.46,4846.0,0.01,hiver,8.2,144.70000000000002,arbre
2019-03-03,Agadir,30.427,-9.598,13.4,20.0,0.0,17.3,10.93,3,Oranger,fin,41.2,15.7,5.7,66.6,97.2,0.7,0.01,20.89,2089.0,0.01,printemps,6.6,169.5,arbre
2019-03-04,Agadir,30.427,-9.598,13.7,23.3,0.0,20.7,11.06,3,Citronnier,mature,19.2,16.3,126.7,70.3,121.8,0.75,0.01,42.37,4237.0,0.01,printemps,9.6,318.8,arbre
2019-03-08,Agadir,30.427,-9.598,12.7,25.6,0.0,25.8,11.26,3,Oranger,mature,59.3,19.8,121.0,19.9,116.4,0.75,0.01,42.99,4299.0,0.01,printemps,12.9,257.3,arbre
2019-03-09,Agadir,30.427,-9.598,13.8,25.0,0.0,19.8,11.27,3,Citronnier,jeune,46.0,17.8,104.8,57.9,98.7,0.7,0.01,22.76,2276.0,0.01,printemps,11.2,261.4,arbre
2019-03-13,Agadir,30.427,-9.598,14.7,23.5,0.0,17.7,11.32,3,Oranger,jeune,32.9,19.5,196.1,63.1,107.5,0.7,0.01,16.76,1676.0,0.01,printemps,8.8,366.7,arbre
2019-03-14,Agadir,30.427,-9.598,14.6,20.7,0.0,14.5,11.2,3,Citronnier,jeune,15.5,15.5,136.3,10.2,100.7,0.7,0.0,22.73,0.0,0.0,printemps,6.1,247.2,arbre
2019-03-18,Agadir,30.427,-9.598,14.8,25.9,0.0,15.6,11.52,3,Oranger,mature,68.1,20.7,30.8,17.2,123.4,0.75,0.0,5.46,0.0,0.0,printemps,11.1,171.4,arbre
2019-03-19,Agadir,30.427,-9.598,13.9,24.7,0.0,14.8,11.59,3,Citronnier,mature,25.1,18.8,70.2,28.1,139.2,0.75,0.0,31.89,0.0,0.0,printemps,10.8,237.5,arbre
2019-03-23,Agadir,30.427,-9.598,17.3,27.3,0.0,39.6,11.05,3,Oranger,jeune,17.9,20.7,165.3,69.6,50.7,0.7,0.0,34.64,0.0,0.0,printemps,10.0,285.6,arbre
2019-03-24,Agadir,30.427,-9.598,18.3,29.2,0.0,36.6,11.26,3,Citronnier,mature,18.6,26.2,124.4,30.3,100.3,0.75,0.0,9.12,0.0,0.0,printemps,10.9,255.0,arbre
2019-03-28,Agadir,30.427,-9.598,15.4,22.3,0.0,18.4,10.94,3,Oranger,fin,54.4,20.1,19.1,84.7,126.7,0.7,0.01,33.47,3347.0,0.01,printemps,6.9,230.5,arbre
2019-03-29,Agadir,30.427,-9.598,14.2,24.7,0.0,19.5,11.86,3,Citronnier,jeune,40.9,19.6,114.7,12.9,100.9,0.7,0.01,7.18,718.0,0.01,printemps,10.5,228.5,arbre
2019-04-02,Agadir,30.427,-9.598,15.2,26.7,0.0,20.8,5.05,4,Oranger,mature,53.6,21.7,104.3,9.9,97.9,0.75,0.0,46.52,0.0,0.0,printemps,11.5,212.1,arbre
2019-04-03,Agadir,30.427,-9.598,16.4,26.0,6.0,35.0,11.66,4,Citronnier,jeune,17.7,23.4,19.9,68.2,25.8,0.7,0.01,48.45,0.0,0.0,printemps,9.6,113.9,arbre
2019-04-07,Agadir,30.427,-9.598,10.6,20.0,0.0,24.7,12.1,4,Oranger,jeune,22.8,18.1,185.5,78.1,142.5,0.7,0.01,22.49,2249.0,0.01,printemps,9.4,406.1,arbre
2019-04-08,Agadir,30.427,-9.598,13.6,22.9,0.0,26.5,12.03,4,Citronnier,mature,15.2,18.7,126.3,11.9,46.4,0.75,0.01,34.66,3466.0,0.01,printemps,9.3,184.6,arbre
2019-04-12,Agadir,30.427,-9.598,15.1,27.3,0.0,28.3,12.0,4,Oranger,jeune,64.6,21.9,123.3,95.1,45.6,0.7,0.01,35.59,3559.0,0.01,printemps,12.2,264.0,arbre
2019-04-13,Agadir,30.427,-9.598,15.2,28.2,0.0,16.8,12.4,4,Citronnier,fin,21.4,21.3,40.1,97.3,126.7,0.7,0.01,13.33,1333.0,0.01,printemps,13.0,264.1,arbre
2019-04-17,Agadir,30.427,-9.598,15.4,21.2,0.0,24.7,12.06,4,Oranger,jeune,59.8,18.9,190.6,66.2,70.1,0.7,0.0,42.08,0.0,0.0,printemps,5.8,326.9,arbre
2019-04-18,Agadir,30.427,-9.598,16.1,22.4,0.0,38.1,12.0,4,Citronnier,fin,45.5,18.2,48.6,100.0,117.9,0.7,0.01,45.09,4509.0,0.01,printemps,6.3,266.5,arbre
2019-04-22,Agadir,30.427,-9.598,13.9,21.2,0.0,28.5,12.7,4,Oranger,jeune,42.4,18.1,10.1,12.8,42.9,0.7,0.0,46.15,0.0,0.0,printemps,7.3,65.8,arbre
2019-04-23,Agadir,30.427,-9.598,14.8,20.5,0.2,25.5,10.24,4,Citronnier,mature,46.6,17.3,100.3,57.7,103.6,0.75,0.0,17.94,0.0,0.0,printemps,5.7,261.6,arbre
2019-04-27,Agadir,30.427,-9.598,16.2,27.4,0.0,17.6,12.95,4,Oranger,jeune,40.4,23.2,2.2,4.2,27.7,0.7,0.01,6.04,604.0,0.01,printemps,11.2,34.1,arbre
2019-04-28,Agadir,30.427,-9.598,16.0,27.1,0.0,17.3,12.51,4,Citronnier,jeune,44.1,20.0,162.2,38.4,10.3,0.7,0.01,10.31,1031.0,0.01,printemps,11.1,210.9,arbre
2019-05-02,Agadir,30.427,-9.598,17.7,22.7,0.9,24.5,7.82,5,Oranger,jeune,57.5,21.9,187.9,91.0,126.9,0.7,0.0,37.93,0.0,0.0,printemps,5.0,405.8,arbre
2019-05-03,Agadir,30.427,-9.598,17.3,22.2,0.8,28.4,10.0,5,Citronnier,jeune,43.0,22.0,85.1,46.1,0.5,0.7,0.0,5.03,0.0,0.0,printemps,4.9,131.7,arbre
2019-05-07,Agadir,30.427,-9.598,15.8,25.0,0.0,18.9,12.48,5,Oranger,fin,40.3,23.1,60.1,12.8,54.7,0.7,0.0,7.86,0.0,0.0,printemps,9.2,127.6,arbre
2019-05-08,Agadir,30.427,-9.598,15.0,27.1,0.0,17.9,13.0,5,Citronnier,jeune,54.6,20.0,122.0,71.5,36.1,0.7,0.0,6.36,0.0,0.0,printemps,12.1,229.6,arbre
2019-05-12,Agadir,30.427,-9.598,19.4,39.2,0.0,18.7,13.0,5,Oranger,jeune,49.2,27.9,52.7,17.6,128.7,0.7,0.0,6.99,0.0,0.0,printemps,19.8,199.0,arbre
2019-05-13,Agadir,30.427,-9.598,24.3,35.7,0.0,15.3,13.0,5,Citronnier,jeune,70.5,30.9,98.6,80.1,138.3,0.7,0.0,32.91,0.0,0.0,printemps,11.4,317.0,arbre
2019-05-17,Agadir,30.427,-9.598,19.1,35.1,0.0,19.5,13.0,5,Oranger,jeune,39.8,26.1,194.8,8.6,3.5,0.7,0.0,33.04,0.0,0.0,printemps,16.0,206.9,arbre
2019-05-18,Agadir,30.427,-9.598,18.5,28.6,0.0,22.2,13.0,5,Citronnier,fin,74.2,23.5,16.1,42.9,6.3,0.7,0.0,29.65,0.0,0.0,printemps,10.1,65.3,arbre
2019-05-22,Agadir,30.427,-9.598,16.6,26.2,0.0,18.0,13.0,5,Oranger,jeune,72.8,21.3,161.4,87.0,112.0,0.7,0.0,3.1,0.0,0.0,printemps,9.6,360.4,arbre
2019-05-23,Agadir,30.427,-9.598,16.8,29.8,0.0,15.2,12.81,5,Citronnier,mature,40.9,20.9,178.5,32.6,83.8,0.75,0.0,33.27,0.0,0.0,printemps,13.0,294.9,arbre
2019-05-27,Agadir,30.427,-9.598,18.6,27.8,0.0,15.1,13.0,5,Oranger,mature,43.2,23.5,133.2,89.9,129.7,0.75,0.0,17.95,0.0,0.0,printemps,9.2,352.79999999999995,arbre
2019-05-28,Agadir,30.427,-9.598,19.0,23.6,0.0,18.1,13.0,5,Citronnier,fin,29.9,22.6,181.6,66.6,123.4,0.7,0.0,33.27,0.0,0.0,printemps,4.6,371.6,arbre
2019-06-01,Agadir,30.427,-9.598,22.7,33.3,0.0,24.4,12.79,6,Oranger,mature,18.8,29.0,75.7,34.8,26.4,0.75,0.0,8.8,0.0,0.0,ete,10.6,136.9,arbre
2019-06-02,Agadir,30.427,-9.598,26.1,37.5,0.0,12.2,13.0,6,Citronnier,mature,16.5,29.9,142.6,69.4,87.8,0.75,0.0,20.63,0.0,0.0,ete,11.4,299.8,arbre
2019-06-06,Agadir,30.427,-9.598,18.1,28.3,0.0,20.4,13.0,6,Oranger,jeune,22.1,24.8,102.6,34.1,82.2,0.7,0.0,39.73,0.0,0.0,ete,10.2,218.9,arbre
2019-06-07,Agadir,30.427,-9.598,17.4,27.0,0.0,16.9,13.0,6,Citronnier,fin,22.2,21.4,58.2,44.9,91.2,0.7,0.0,41.06,0.0,0.0,ete,9.6,194.3,arbre
2019-06-11,Agadir,30.427,-9.598,17.1,27.5,0.0,20.5,13.03,6,Oranger,jeune,44.0,21.1,86.9,93.1,60.8,0.7,0.0,49.89,0.0,0.0,ete,10.4,240.8,arbre
2019-06-12,Agadir,30.427,-9.598,16.4,26.8,0.0,15.4,13.02,6,Citronnier,fin,53.8,22.9,130.6,19.2,68.1,0.7,0.0,4.78,0.0,0.0,ete,10.4,217.9,arbre
2019-06-16,Agadir,30.427,-9.598,16.7,25.7,0.0,26.1,13.09,6,Oranger,mature,42.0,20.1,146.2,18.6,86.0,0.75,0.0,18.63,0.0,0.0,ete,9.0,250.8,arbre
2019-06-17,Agadir,30.427,-9.598,16.9,23.8,0.0,25.2,13.09,6,Citronnier,mature,42.2,20.3,100.1,22.2,121.5,0.75,0.0,48.05,0.0,0.0,ete,6.9,243.8,arbre
2019-06-21,Agadir,30.427,-9.598,18.2,27.3,0.0,14.4,12.87,6,Oranger,mature,42.8,23.4,28.8,80.7,83.9,0.75,0.0,40.85,0.0,0.0,ete,9.1,193.4,arbre
2019-06-22,Agadir,30.427,-9.598,18.0,27.7,0.0,17.6,13.08,6,Citronnier,mature,48.2,19.9,13.7,77.7,146.1,0.75,0.0,18.4,0.0,0.0,ete,9.7,237.5,arbre
2019-06-26,Agadir,30.427,-9.598,18.6,27.4,0.5,27.1,11.85,6,Oranger,jeune,71.1,22.5,75.2,49.2,121.0,0.7,0.0,20.35,0.0,0.0,ete,8.8,245.4,arbre
2019-06-27,Agadir,30.427,-9.598,19.8,27.9,0.0,25.4,12.02,6,Citronnier,jeune,38.4,21.7,192.3,40.2,104.1,0.7,0.0,23.88,0.0,0.0,ete,8.1,336.6,arbre
2019-07-01,Agadir,30.427,-9.598,18.5,29.3,0.0,18.6,12.99,7,Oranger,fin,68.0,22.3,51.5,32.0,25.1,0.7,0.0,20.92,0.0,0.0,ete,10.8,108.6,arbre
2019-07-02,Agadir,30.427,-9.598,18.1,29.4,0.0,17.1,13.0,7,Citronnier,fin,41.5,23.6,199.8,61.1,25.4,0.7,0.0,48.33,0.0,0.0,ete,11.3,286.3,arbre
2019-07-06,Agadir,30.427,-9.598,18.1,29.7,0.0,17.4,12.89,7,Oranger,mature,41.8,21.2,103.4,6.3,89.4,0.75,0.0,3.28,0.0,0.0,ete,11.6,199.1,arbre
2019-07-07,Agadir,30.427,-9.598,18.4,29.8,0.1,16.2,13.0,7,Citronnier,fin,53.3,25.6,69.4,30.3,32.7,0.7,0.0,24.6,0.0,0.0,ete,11.4,132.4,arbre
2019-07-11,Agadir,30.427,-9.598,19.5,24.6,0.0,24.0,12.38,7,Oranger,mature,59.1,24.6,27.7,73.6,83.4,0.75,0.0,29.84,0.0,0.0,ete,5.1,184.7,arbre
2019-07-12,Agadir,30.427,-9.598,19.0,25.1,0.0,24.3,9.92,7,Citronnier,jeune,29.8,24.7,75.6,86.0,84.9,0.7,0.0,31.61,0.0,0.0,ete,6.1,246.5,arbre
2019-07-16,Agadir,30.427,-9.598,19.9,29.1,0.0,17.1,12.87,7,Oranger,jeune,61.9,22.1,194.8,11.2,52.9,0.7,0.0,27.43,0.0,0.0,ete,9.2,258.9,arbre
2019-07-17,Agadir,30.427,-9.598,19.3,28.3,0.0,17.1,12.44,7,Citronnier,mature,71.2,20.9,80.5,21.9,64.5,0.75,0.0,45.63,0.0,0.0,ete,9.0,166.9,arbre
2019-07-21,Agadir,30.427,-9.598,19.0,29.0,0.0,17.7,12.76,7,Oranger,mature,73.9,22.1,101.8,8.3,101.8,0.75,0.0,28.4,0.0,0.0,ete,10.0,211.9,arbre
2019-07-22,Agadir,30.427,-9.598,18.8,30.2,0.0,16.9,12.65,7,Citronnier,jeune,15.4,22.7,82.1,55.3,99.7,0.7,0.0,3.37,0.0,0.0,ete,11.4,237.1,arbre
2019-07-26,Agadir,30.427,-9.598,21.7,33.1,0.0,17.7,12.86,7,Oranger,jeune,21.4,25.6,51.2,58.5,101.0,0.7,0.0,21.05,0.0,0.0,ete,11.4,210.7,arbre
2019-07-27,Agadir,30.427,-9.598,19.7,30.7,0.0,19.2,12.67,7,Citronnier,mature,32.1,23.4,86.9,4.8,56.5,0.75,0.0,1.41,0.0,0.0,ete,11.0,148.2,arbre
2019-07-31,Agadir,30.427,-9.598,18.7,27.2,0.0,19.5,12.83,7,Oranger,jeune,31.5,21.4,91.5,95.8,132.1,0.7,0.0,32.8,0.0,0.0,ete,8.5,319.4,arbre
2019-08-01,Agadir,30.427,-9.598,19.9,26.9,0.0,18.9,11.18,8,Citronnier,mature,66.0,21.0,111.1,1.3,34.1,0.75,0.0,37.01,0.0,0.0,ete,7.0,146.5,arbre
2019-08-05,Agadir,30.427,-9.598,18.1,26.4,0.0,15.3,11.62,8,Oranger,mature,19.1,22.1,179.2,71.2,83.9,0.75,0.0,20.14,0.0,0.0,ete,8.3,334.29999999999995,arbre
2019-08-06,Agadir,30.427,-9.598,19.6,25.3,0.0,14.2,12.16,8,Citronnier,mature,25.5,25.2,126.4,100.0,148.7,0.75,0.0,33.95,0.0,0.0,ete,5.7,375.1,arbre
2019-08-10,Agadir,30.427,-9.598,18.8,31.3,0.0,17.3,12.55,8,Oranger,jeune,38.8,24.6,132.1,39.7,57.7,0.7,0.0,29.71,0.0,0.0,ete,12.5,229.5,arbre
2019-08-11,Agadir,30.427,-9.598,20.4,28.1,0.0,11.5,12.56,8,Citronnier,fin,19.6,23.8,91.8,54.0,108.8,0.7,0.0,14.1,0.0,0.0,ete,7.7,254.6,arbre
2019-08-15,Agadir,30.427,-9.598,19.9,28.8,0.0,11.5,12.37,8,Oranger,fin,66.0,23.8,26.8,55.9,130.4,0.7,0.0,11.35,0.0,0.0,ete,8.9,213.1,arbre
2019-08-16,Agadir,30.427,-9.598,23.0,37.7,0.0,12.9,11.75,8,Citronnier,jeune,40.8,27.7,199.5,25.1,127.1,0.7,0.0,2.44,0.0,0.0,ete,14.7,351.7,arbre
2019-08-20,Agadir,30.427,-9.598,19.6,27.3,0.0,14.7,12.36,8,Oranger,jeune,18.6,25.6,117.5,86.2,93.3,0.7,0.0,36.37,0.0,0.0,ete,7.7,297.0,arbre
2019-08-21,Agadir,30.427,-9.598,18.0,27.5,0.0,12.2,12.36,8,Citronnier,jeune,37.1,23.4,76.5,34.4,93.0,0.7,0.0,41.44,0.0,0.0,ete,9.5,203.9,arbre
2019-08-25,Agadir,30.427,-9.598,24.8,35.5,0.0,13.0,12.0,8,Oranger,mature,54.5,30.0,10.7,37.1,20.0,0.75,0.0,47.45,0.0,0.0,ete,10.7,67.8,arbre
2019-08-26,Agadir,30.427,-9.598,21.9,28.0,0.0,14.2,12.0,8,Citronnier,fin,41.8,26.6,111.1,34.5,149.2,0.7,0.0,46.35,0.0,0.0,ete,6.1,294.79999999999995,arbre
2019-08-30,Agadir,30.427,-9.598,23.0,29.6,0.0,12.6,12.17,8,Oranger,fin,40.6,23.4,134.9,17.9,16.9,0.7,0.0,39.21,0.0,0.0,ete,6.6,169.70000000000002,arbre
2019-08-31,Agadir,30.427,-9.598,21.4,31.3,0.0,20.3,12.01,8,Citronnier,jeune,57.2,26.3,146.7,85.7,41.4,0.7,0.0,31.14,0.0,0.0,ete,9.9,273.79999999999995,arbre
2019-09-04,Agadir,30.427,-9.598,19.5,27.2,0.0,21.4,11.93,9,Oranger,fin,34.3,25.3,131.1,90.2,146.3,0.7,0.0,21.79,0.0,0.0,automne,7.7,367.6,arbre
2019-09-05,Agadir,30.427,-9.598,18.3,25.1,0.0,21.8,10.61,9,Citronnier,fin,46.6,20.4,194.5,51.0,121.6,0.7,0.0,12.69,0.0,0.0,automne,6.8,367.1,arbre
2019-09-09,Agadir,30.427,-9.598,20.7,25.4,0.0,24.4,11.57,9,Oranger,jeune,31.1,22.3,89.1,91.9,2.8,0.7,0.0,39.89,0.0,0.0,automne,4.7,183.8,arbre
2019-09-10,Agadir,30.427,-9.598,19.6,26.7,0.0,26.6,10.18,9,Citronnier,jeune,73.7,24.1,146.4,34.0,0.2,0.7,0.0,24.73,0.0,0.0,automne,7.1,180.6,arbre
2019-09-14,Agadir,30.427,-9.598,18.9,25.5,0.0,13.4,11.33,9,Oranger,mature,49.1,22.4,195.0,3.7,37.0,0.75,0.0,8.33,0.0,0.0,automne,6.6,235.7,arbre
2019-09-15,Agadir,30.427,-9.598,19.2,26.4,0.0,14.0,11.25,9,Citronnier,jeune,30.7,22.1,175.4,0.6,120.8,0.7,0.0,29.11,0.0,0.0,automne,7.2,296.8,arbre
2019-09-19,Agadir,30.427,-9.598,18.2,25.6,0.0,16.0,11.07,9,Oranger,fin,72.9,23.9,191.7,8.8,61.6,0.7,0.0,30.1,0.0,0.0,automne,7.4,262.1,arbre
2019-09-20,Agadir,30.427,-9.598,18.5,26.9,0.0,13.4,10.83,9,Citronnier,jeune,17.0,22.4,169.4,12.0,24.8,0.7,0.0,15.77,0.0,0.0,automne,8.4,206.2,arbre
2019-09-24,Agadir,30.427,-9.598,19.3,25.0,0.0,12.9,11.0,9,Oranger,mature,26.4,20.2,57.3,16.9,92.7,0.75,0.0,11.02,0.0,0.0,automne,5.7,166.89999999999998,arbre
2019-09-25,Agadir,30.427,-9.598,18.8,25.5,0.0,10.0,11.0,9,Citronnier,fin,19.6,22.9,57.0,73.5,104.1,0.7,0.0,11.98,0.0,0.0,automne,6.7,234.6,arbre
2019-09-29,Agadir,30.427,-9.598,20.2,36.4,0.0,11.3,11.0,9,Oranger,mature,50.9,26.6,100.1,55.5,61.8,0.75,0.0,13.59,0.0,0.0,automne,16.2,217.4,arbre
2019-09-30,Agadir,30.427,-9.598,26.1,42.1,0.0,22.7,11.0,9,Citronnier,fin,36.7,34.8,152.0,48.5,29.3,0.7,0.0,30.79,0.0,0.0,automne,16.0,229.8,arbre
2019-10-04,Agadir,30.427,-9.598,18.3,29.2,0.0,14.0,11.0,10,Oranger,fin,49.3,26.3,195.5,81.1,42.8,0.7,0.0,23.17,0.0,0.0,automne,10.9,319.40000000000003,arbre
2019-10-05,Agadir,30.427,-9.598,20.5,33.1,0.0,15.1,11.0,10,Citronnier,mature,34.2,24.3,30.9,54.5,107.8,0.75,0.0,8.06,0.0,0.0,automne,12.6,193.2,arbre
2019-10-09,Agadir,30.427,-9.598,16.8,22.0,0.0,14.5,10.21,10,Oranger,fin,51.6,20.1,155.4,57.8,34.4,0.7,0.0,42.96,0.0,0.0,automne,5.2,247.6,arbre
2019-10-10,Agadir,30.427,-9.598,17.3,23.7,0.0,11.6,4.55,10,Citronnier,mature,32.4,22.3,66.8,19.6,114.5,0.75,0.0,43.31,0.0,0.0,automne,6.4,200.9,arbre
2019-10-14,Agadir,30.427,-9.598,18.6,26.5,0.0,22.0,11.0,10,Oranger,fin,70.8,24.4,116.2,16.1,60.4,0.7,0.0,35.76,0.0,0.0,automne,7.9,192.7,arbre
2019-10-15,Agadir,30.427,-9.598,17.8,23.5,0.0,18.4,11.0,10,Citronnier,jeune,41.9,21.3,107.9,69.4,50.5,0.7,0.0,13.24,0.0,0.0,automne,5.7,227.8,arbre
2019-10-19,Agadir,30.427,-9.598,16.7,26.8,0.0,15.9,10.96,10,Oranger,jeune,39.1,21.4,174.4,9.5,79.3,0.7,0.0,14.84,0.0,0.0,automne,10.1,263.2,arbre
2019-10-20,Agadir,30.427,-9.598,16.4,27.1,0.0,26.5,10.97,10,Citronnier,jeune,70.8,20.4,113.3,86.4,56.6,0.7,0.0,11.96,0.0,0.0,automne,10.7,256.3,arbre
2019-10-24,Agadir,30.427,-9.598,14.3,24.3,0.0,12.5,10.91,10,Oranger,mature,58.3,20.3,146.4,81.3,137.1,0.75,0.0,43.63,0.0,0.0,automne,10.0,364.8,arbre
2019-10-25,Agadir,30.427,-9.598,21.2,33.4,0.0,25.3,10.89,10,Citronnier,jeune,30.1,27.3,72.8,92.8,2.5,0.7,0.0,28.24,0.0,0.0,automne,12.2,168.1,arbre
2019-10-29,Agadir,30.427,-9.598,19.7,28.9,0.0,24.0,10.83,10,Oranger,mature,27.6,24.1,155.3,33.4,17.4,0.75,0.0,27.63,0.0,0.0,automne,9.2,206.1,arbre
2019-10-30,Agadir,30.427,-9.598,18.8,27.6,0.0,15.6,10.81,10,Citronnier,mature,58.4,22.0,35.5,43.1,89.0,0.75,0.0,33.11,0.0,0.0,automne,8.8,167.6,arbre
2019-11-03,Agadir,30.427,-9.598,19.0,25.5,0.0,28.4,10.76,11,Oranger,mature,35.4,21.1,38.5,60.4,122.6,0.75,0.0,28.1,0.0,0.0,automne,6.5,221.5,arbre
2019-11-04,Agadir,30.427,-9.598,17.5,24.6,0.0,13.0,10.74,11,Citronnier,jeune,50.5,21.2,186.1,2.4,37.5,0.7,0.0,29.92,0.0,0.0,automne,7.1,226.0,arbre
2019-11-08,Agadir,30.427,-9.598,17.7,24.3,0.0,15.7,10.65,11,Oranger,jeune,70.3,22.7,73.0,10.0,9.3,0.7,0.0,0.78,0.0,0.0,automne,6.6,92.3,arbre
2019-11-09,Agadir,30.427,-9.598,16.6,24.0,0.0,9.7,10.63,11,Citronnier,mature,15.2,20.6,45.9,57.5,33.5,0.75,0.0,1.7,0.0,0.0,automne,7.4,136.9,arbre
2019-11-13,Agadir,30.427,-9.598,14.9,24.6,0.0,14.0,10.45,11,Oranger,fin,72.7,17.0,9.0,18.5,61.2,0.7,0.0,34.99,0.0,0.0,automne,9.7,88.7,arbre
