date,region,latitude,longitude,temperature,humidite_air,precipitations,rayonnement,vitesse_vent,evapotranspiration,humidite_sol,type_sol,type_plante,stade_croissance,besoin_eau_annuel_mm,besoin_eau_journalier_mm
2019-03-27,tanger_tetouan_al_hoceima,35.77,-5.8,14.88,65.49,0.01,12.19,9.1,0.78,50.0,limoneux,poivron,germination,550,0.46
2019-03-28,tanger_tetouan_al_hoceima,35.77,-5.8,14.8,69.99,0.0,19.8,8.62,0.69,17.5,sableux,poivron,maturité,550,0.59
2019-03-29,tanger_tetouan_al_hoceima,35.77,-5.8,14.9,74.85,0.07,18.06,7.84,0.62,27.6,limoneux,courgette,germination,500,0.24
2019-03-30,tanger_tetouan_al_hoceima,35.77,-5.8,14.86,82.94,1.18,8.51,7.48,0.44,61.8,limoneux,poivron,germination,550,0.0
2019-03-31,tanger_tetouan_al_hoceima,35.77,-5.8,15.68,86.73,3.0,15.5,3.42,0.62,66.9,sableux,agrume,floraison,1000,0.0
2019-04-01,tanger_tetouan_al_hoceima,35.77,-5.8,15.49,83.88,2.06,16.26,2.97,0.82,25.8,argileux,poivron,maturité,550,0.0
2019-04-02,tanger_tetouan_al_hoceima,35.77,-5.8,16.28,71.06,0.01,18.64,1.18,1.19,31.0,sableux,courgette,maturité,500,0.94
2019-04-03,tanger_tetouan_al_hoceima,35.77,-5.8,16.39,70.12,0.0,23.77,2.61,1.57,66.5,argileux,tomate,maturité,600,1.26
2019-04-04,tanger_tetouan_al_hoceima,35.77,-5.8,14.16,69.77,0.69,16.09,4.21,0.87,36.0,argilo-limoneux,poivron,croissance,550,0.0
2019-04-05,tanger_tetouan_al_hoceima,35.77,-5.8,13.65,76.34,20.51,11.11,6.79,0.56,54.6,argileux,poivron,croissance,550,0.0
2019-04-06,tanger_tetouan_al_hoceima,35.77,-5.8,13.89,75.44,6.25,16.08,6.33,0.69,66.9,limoneux,agrume,fructification,1000,0.0
2019-04-07,tanger_tetouan_al_hoceima,35.77,-5.8,15.5,77.54,1.97,13.68,5.17,1.16,39.0,calcaire,courgette,floraison,500,0.0
2019-04-08,tanger_tetouan_al_hoceima,35.77,-5.8,15.75,85.33,3.66,16.48,4.48,1.05,21.9,argileux,vigne,floraison,400,0.0
2019-04-09,tanger_tetouan_al_hoceima,35.77,-5.8,15.22,73.78,0.1,21.09,4.25,1.45,72.8,calcaire,courgette,croissance,500,0.99
2019-04-10,tanger_tetouan_al_hoceima,35.77,-5.8,14.74,75.86,0.04,25.33,4.2,1.41,50.8,argileux,courgette,germination,500,0.66
2019-04-11,tanger_tetouan_al_hoceima,35.77,-5.8,15.42,74.11,0.0,24.37,3.05,1.67,51.4,argilo-limoneux,courgette,floraison,500,1.67
2019-04-12,tanger_tetouan_al_hoceima,35.77,-5.8,16.51,71.96,0.0,25.16,1.93,1.89,69.0,argilo-limoneux,vigne,repos,400,0.57
2019-04-13,tanger_tetouan_al_hoceima,35.77,-5.8,16.87,72.88,0.0,26.99,1.98,1.91,57.5,argileux,poivron,floraison,550,2.01
2019-04-14,tanger_tetouan_al_hoceima,35.77,-5.8,18.64,61.71,0.0,26.5,1.04,2.02,40.9,limoneux,tomate,croissance,600,1.52
2019-04-15,tanger_tetouan_al_hoceima,35.77,-5.8,17.28,76.42,0.0,24.74,2.8,1.33,58.2,argileux,courgette,floraison,500,1.33
2019-04-16,tanger_tetouan_al_hoceima,35.77,-5.8,17.14,72.49,0.0,25.61,2.51,1.59,34.6,argilo-limoneux,courgette,floraison,500,1.59
2019-04-17,tanger_tetouan_al_hoceima,35.77,-5.8,15.97,86.77,3.46,11.57,4.04,0.31,40.2,sableux,courgette,croissance,500,0.0
2019-04-18,tanger_tetouan_al_hoceima,35.77,-5.8,14.98,83.8,7.47,16.03,2.98,0.61,49.1,calcaire,agrume,floraison,1000,0.0
2019-04-19,tanger_tetouan_al_hoceima,35.77,-5.8,15.78,75.86,1.52,20.84,1.91,1.12,32.2,limoneux,agrume,repos,1000,0.0
2019-04-20,tanger_tetouan_al_hoceima,35.77,-5.8,16.32,72.45,0.01,22.36,1.75,1.32,41.5,argilo-limoneux,agrume,fructification,1000,0.91
2019-04-21,tanger_tetouan_al_hoceima,35.77,-5.8,15.88,80.83,3.19,15.58,1.76,0.75,54.5,sableux,poivron,maturité,550,0.0
2019-04-22,tanger_tetouan_al_hoceima,35.77,-5.8,16.71,81.29,0.84,17.22,4.0,1.39,64.1,argileux,courgette,floraison,500,0.55
2019-04-23,tanger_tetouan_al_hoceima,35.77,-5.8,15.1,72.9,10.53,14.93,5.8,1.24,63.4,sableux,poivron,floraison,550,0.0
2019-04-24,tanger_tetouan_al_hoceima,35.77,-5.8,16.01,75.91,1.07,19.25,5.75,1.2,29.7,argileux,poivron,germination,550,0.0
2019-04-25,tanger_tetouan_al_hoceima,35.77,-5.8,16.08,81.4,5.37,11.54,4.73,0.75,39.9,argilo-limoneux,agrume,repos,1000,0.0
2019-04-26,tanger_tetouan_al_hoceima,35.77,-5.8,16.53,64.52,0.0,29.33,2.04,2.36,44.7,argilo-limoneux,vigne,débourrement,400,1.65
2019-04-27,tanger_tetouan_al_hoceima,35.77,-5.8,16.56,70.97,0.0,28.8,5.99,1.36,68.6,argileux,poivron,croissance,550,1.02
2019-04-28,tanger_tetouan_al_hoceima,35.77,-5.8,16.79,72.48,0.0,25.43,6.59,1.21,25.6,sableux,tomate,maturité,600,0.97
2019-04-29,tanger_tetouan_al_hoceima,35.77,-5.8,16.9,77.41,0.0,26.04,5.46,1.09,48.4,argileux,vigne,maturité,400,0.49
2019-04-30,tanger_tetouan_al_hoceima,35.77,-5.8,16.9,80.94,0.0,28.24,4.4,1.23,63.1,sableux,tomate,maturité,600,0.98
2019-05-01,tanger_tetouan_al_hoceima,35.77,-5.8,16.64,79.52,0.01,22.66,6.21,0.89,51.8,argilo-limoneux,vigne,floraison,400,0.75
2019-05-02,tanger_tetouan_al_hoceima,35.77,-5.8,16.77,81.11,0.0,20.93,5.41,0.63,41.8,calcaire,vigne,maturité,400,0.28
2019-05-03,tanger_tetouan_al_hoceima,35.77,-5.8,17.72,83.49,0.01,21.71,2.75,0.98,30.6,argilo-limoneux,poivron,maturité,550,0.82
2019-05-04,tanger_tetouan_al_hoceima,35.77,-5.8,17.71,86.54,0.04,22.74,2.42,1.15,44.1,calcaire,poivron,floraison,550,1.17
2019-05-05,tanger_tetouan_al_hoceima,35.77,-5.8,16.8,84.23,0.01,27.84,2.77,1.18,19.6,argilo-limoneux,poivron,floraison,550,1.23
2019-05-06,tanger_tetouan_al_hoceima,35.77,-5.8,17.19,82.56,0.0,27.31,2.58,1.11,35.2,limoneux,courgette,croissance,500,0.83
2019-05-07,tanger_tetouan_al_hoceima,35.77,-5.8,17.32,81.88,0.0,29.64,2.6,1.15,24.0,sableux,vigne,repos,400,0.34
2019-05-08,tanger_tetouan_al_hoceima,35.77,-5.8,17.67,86.16,0.0,23.26,3.78,0.72,18.9,sableux,agrume,floraison,1000,0.54
2019-05-09,tanger_tetouan_al_hoceima,35.77,-5.8,18.39,83.3,0.0,26.7,2.71,1.08,43.0,calcaire,agrume,fructification,1000,0.76
2019-05-10,tanger_tetouan_al_hoceima,35.77,-5.8,19.89,77.53,0.0,29.06,2.41,1.52,38.4,argilo-limoneux,tomate,croissance,600,1.14
2019-05-11,tanger_tetouan_al_hoceima,35.77,-5.8,21.32,65.94,0.0,29.65,2.22,1.66,37.8,calcaire,vigne,repos,400,0.5
2019-05-12,tanger_tetouan_al_hoceima,35.77,-5.8,18.93,78.02,0.0,25.23,7.71,0.58,60.2,limoneux,tomate,floraison,600,0.67
2019-05-13,tanger_tetouan_al_hoceima,35.77,-5.8,18.78,71.29,0.0,29.05,6.45,0.71,28.2,argilo-limoneux,agrume,floraison,1000,0.53
2019-05-14,tanger_tetouan_al_hoceima,35.77,-5.8,17.86,72.63,0.0,29.01,7.26,0.53,38.3,argileux,agrume,maturité,1000,0.37
2019-05-15,tanger_tetouan_al_hoceima,35.77,-5.8,20.68,65.82,0.0,30.59,2.6,1.19,70.2,argilo-limoneux,agrume,floraison,1000,0.89
2019-05-16,tanger_tetouan_al_hoceima,35.77,-5.8,19.38,78.61,0.0,28.47,2.14,0.87,50.5,argilo-limoneux,vigne,repos,400,0.26
2019-05-17,tanger_tetouan_al_hoceima,35.77,-5.8,17.27,64.01,0.0,25.42,4.38,0.37,23.1,argilo-limoneux,tomate,germination,600,0.22
2019-05-18,tanger_tetouan_al_hoceima,35.77,-5.8,16.85,66.82,0.0,26.08,4.6,0.45,30.6,argileux,agrume,floraison,1000,0.34
2019-05-19,tanger_tetouan_al_hoceima,35.77,-5.8,17.32,72.02,0.0,24.96,3.81,0.41,34.6,argilo-limoneux,courgette,croissance,500,0.31
2019-05-20,tanger_tetouan_al_hoceima,35.77,-5.8,18.83,75.06,0.0,28.21,2.43,0.65,30.1,argilo-limoneux,agrume,fructification,1000,0.45
2019-05-21,tanger_tetouan_al_hoceima,35.77,-5.8,18.5,75.73,0.0,29.5,2.55,0.57,59.9,argileux,tomate,maturité,600,0.46
2019-05-22,tanger_tetouan_al_hoceima,35.77,-5.8,18.44,74.22,0.0,30.28,2.93,0.41,54.0,sableux,tomate,floraison,600,0.47
2019-05-23,tanger_tetouan_al_hoceima,35.77,-5.8,20.13,63.79,0.0,29.44,2.42,0.51,27.0,sableux,tomate,germination,600,0.31
2019-05-24,tanger_tetouan_al_hoceima,35.77,-5.8,19.2,73.39,0.0,25.78,2.79,0.37,22.6,sableux,tomate,croissance,600,0.28
2019-05-25,tanger_tetouan_al_hoceima,35.77,-5.8,18.87,78.8,0.0,29.15,2.98,0.34,57.0,argilo-limoneux,tomate,croissance,600,0.26
2019-05-26,tanger_tetouan_al_hoceima,35.77,-5.8,19.73,72.66,0.0,29.72,2.97,0.42,51.4,calcaire,courgette,croissance,500,0.32
2019-05-27,tanger_tetouan_al_hoceima,35.77,-5.8,21.28,66.5,0.0,30.83,1.84,0.54,21.5,limoneux,tomate,croissance,600,0.41
2019-05-28,tanger_tetouan_al_hoceima,35.77,-5.8,21.65,70.15,0.0,30.2,1.55,0.5,55.6,calcaire,tomate,floraison,600,0.57
2019-05-29,tanger_tetouan_al_hoceima,35.77,-5.8,19.74,76.52,0.0,27.5,6.26,0.23,19.6,sableux,agrume,maturité,1000,0.16
2019-05-30,tanger_tetouan_al_hoceima,35.77,-5.8,18.86,74.28,0.0,28.58,8.52,0.17,66.0,limoneux,poivron,germination,550,0.1
2019-05-31,tanger_tetouan_al_hoceima,35.77,-5.8,18.51,73.56,0.0,28.03,8.62,0.17,62.0,calcaire,vigne,repos,400,0.05
2019-06-01,tanger_tetouan_al_hoceima,35.77,-5.8,18.96,72.6,0.0,30.1,7.39,0.2,19.1,limoneux,courgette,maturité,500,0.16
2019-06-02,tanger_tetouan_al_hoceima,35.77,-5.8,19.34,67.97,0.0,30.48,5.41,0.26,64.3,argilo-limoneux,courgette,germination,500,0.13
2019-06-03,tanger_tetouan_al_hoceima,35.77,-5.8,19.23,72.84,0.0,29.75,3.51,0.2,53.1,limoneux,tomate,maturité,600,0.16
2019-06-04,tanger_tetouan_al_hoceima,35.77,-5.8,19.56,75.36,0.0,29.83,2.62,0.29,25.6,argilo-limoneux,agrume,floraison,1000,0.22
2019-06-05,tanger_tetouan_al_hoceima,35.77,-5.8,18.46,66.75,0.0,28.99,4.15,0.21,63.5,calcaire,vigne,floraison,400,0.18
2019-06-06,tanger_tetouan_al_hoceima,35.77,-5.8,18.73,66.44,0.0,31.2,3.23,0.27,41.1,argilo-limoneux,vigne,maturité,400,0.12
2019-06-07,tanger_tetouan_al_hoceima,35.77,-5.8,19.55,69.08,0.29,26.35,3.07,0.23,66.1,limoneux,vigne,floraison,400,0.0
2019-06-08,tanger_tetouan_al_hoceima,35.77,-5.8,19.46,70.53,0.0,30.41,1.86,0.17,29.6,argilo-limoneux,tomate,floraison,600,0.2
2019-06-09,tanger_tetouan_al_hoceima,35.77,-5.8,19.72,72.42,0.01,30.99,2.96,0.2,16.7,limoneux,agrume,maturité,1000,0.13
2019-06-10,tanger_tetouan_al_hoceima,35.77,-5.8,18.91,73.68,0.0,29.5,3.99,0.16,27.7,argilo-limoneux,courgette,croissance,500,0.12
2019-06-11,tanger_tetouan_al_hoceima,35.77,-5.8,18.85,74.59,0.0,30.96,3.73,0.16,67.8,limoneux,courgette,floraison,500,0.16
2019-06-12,tanger_tetouan_al_hoceima,35.77,-5.8,18.74,83.64,0.12,28.84,4.19,0.08,71.9,calcaire,courgette,germination,500,0.0
2019-06-13,tanger_tetouan_al_hoceima,35.77,-5.8,19.69,78.94,0.11,22.94,3.37,0.11,44.3,argilo-limoneux,tomate,croissance,600,0.0
2019-06-14,tanger_tetouan_al_hoceima,35.77,-5.8,18.28,68.59,0.01,27.75,4.41,0.14,41.9,argilo-limoneux,poivron,maturité,550,0.11
2019-06-15,tanger_tetouan_al_hoceima,35.77,-5.8,19.49,65.03,0.0,31.48,2.73,0.21,28.3,limoneux,tomate,germination,600,0.13
2019-06-16,tanger_tetouan_al_hoceima,35.77,-5.8,19.82,68.2,0.0,27.88,0.84,0.14,37.1,calcaire,poivron,floraison,550,0.15
2019-06-17,tanger_tetouan_al_hoceima,35.77,-5.8,20.22,69.18,0.0,30.91,0.76,0.14,74.8,argilo-limoneux,vigne,floraison,400,0.12
2019-06-18,tanger_tetouan_al_hoceima,35.77,-5.8,19.37,76.92,0.0,30.25,2.67,0.14,57.2,limoneux,vigne,floraison,400,0.12
2019-06-19,tanger_tetouan_al_hoceima,35.77,-5.8,19.67,82.9,0.0,29.86,2.81,0.1,28.8,limoneux,courgette,floraison,500,0.1
2019-06-20,tanger_tetouan_al_hoceima,35.77,-5.8,19.59,80.24,0.0,29.18,3.59,0.12,59.6,argileux,poivron,floraison,550,0.13
2019-06-21,tanger_tetouan_al_hoceima,35.77,-5.8,19.89,74.93,0.0,31.45,2.97,0.15,59.3,sableux,poivron,croissance,550,0.11
2019-06-22,tanger_tetouan_al_hoceima,35.77,-5.8,19.92,79.56,0.0,30.22,2.29,0.08,65.0,argileux,courgette,floraison,500,0.08
